SourcePDF,Page,Grader,GeneratedAt,Part,QRText,QRStatus,PrintoutPart,PrintoutPartStatus,PrintoutPartConfidence,ArUcoMarkersDetected,ArUcoMarkerNames,ArUcoMissingMarkers,AlignmentMode,Question,Code,Detected1,Detected2,Detected3,Detected4,Correct1,Correct2,Correct3,Correct4,Result1,Result2,Result3,Result4,CorrectCount,GradableCount,QuestionScore,QuestionMaxScore,DetectedT,DetectedF,Empty,Ambiguous,TotalCorrect,TotalIncorrect,TotalMissing,TotalScore,TotalMaxScore
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,18,B18,T,T,T,F,T,F,T,F,correct,incorrect,correct,correct,3,4,0.6,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,19,B19,F,T,F,F,T,F,T,F,incorrect,incorrect,incorrect,correct,1,4,0.2,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,20,B20,F,F,T,T,T,F,T,F,incorrect,correct,correct,incorrect,2,4,0.4,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,21,B21,T,F,F,F,T,F,T,F,correct,correct,incorrect,correct,3,4,0.6,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,22,B22,T,F,T,F,T,F,T,F,correct,correct,correct,correct,4,4,1.0,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,23,B23,F,T,T,T,T,F,T,F,incorrect,incorrect,correct,incorrect,1,4,0.2,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,24,B24,T,T,F,F,T,F,T,F,correct,incorrect,incorrect,correct,2,4,0.4,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,25,B25,T,T,T,T,T,F,T,F,correct,incorrect,correct,incorrect,2,4,0.4,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,26,B26,T,T,T,T,T,F,T,F,correct,incorrect,correct,incorrect,2,4,0.4,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,27,B27,T,F,F,F,T,F,T,F,correct,correct,incorrect,correct,3,4,0.6,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,28,B28,T,T,F,T,T,F,T,F,correct,incorrect,incorrect,incorrect,1,4,0.2,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,29,B29,T,T,T,F,T,F,T,F,correct,incorrect,correct,correct,3,4,0.6,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,30,B30,F,T,T,F,T,F,T,F,incorrect,incorrect,correct,correct,2,4,0.4,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,31,B31,F,T,F,F,T,F,T,F,incorrect,incorrect,incorrect,correct,1,4,0.2,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,32,B32,F,F,F,F,T,F,T,F,incorrect,correct,incorrect,correct,2,4,0.4,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,33,B33,F,F,T,F,T,F,T,F,incorrect,correct,correct,correct,3,4,0.6,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,34,B34,F,T,T,T,T,F,T,F,incorrect,incorrect,correct,incorrect,1,4,0.2,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,35,B35,F,T,T,F,T,F,T,F,incorrect,incorrect,correct,correct,2,4,0.4,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,36,B36,F,T,F,F,T,F,T,F,incorrect,incorrect,incorrect,correct,1,4,0.2,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,37,B37,T,T,F,T,T,F,T,F,correct,incorrect,incorrect,incorrect,1,4,0.2,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,38,B38,T,T,T,F,T,F,T,F,correct,incorrect,correct,correct,3,4,0.6,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,39,B39,T,T,T,T,T,F,T,F,correct,incorrect,correct,incorrect,2,4,0.4,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,40,B40,F,T,T,F,T,F,T,F,incorrect,incorrect,correct,correct,2,4,0.4,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,41,B41,T,T,F,T,T,F,T,F,correct,incorrect,incorrect,incorrect,1,4,0.2,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,42,B42,F,T,T,F,T,F,T,F,incorrect,incorrect,correct,correct,2,4,0.4,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,43,B43,T,F,F,F,T,F,T,F,correct,correct,incorrect,correct,3,4,0.6,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,44,B44,F,T,F,F,T,F,T,F,incorrect,incorrect,incorrect,correct,1,4,0.2,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,45,B45,F,F,F,F,T,F,T,F,incorrect,correct,incorrect,correct,2,4,0.4,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,46,B46,T,F,F,T,T,F,T,F,correct,correct,incorrect,incorrect,2,4,0.4,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,47,B47,T,T,T,F,T,F,T,F,correct,incorrect,correct,correct,3,4,0.6,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,48,B48,F,T,T,F,T,F,T,F,incorrect,incorrect,correct,correct,2,4,0.4,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,49,B49,T,T,T,F,T,F,T,F,correct,incorrect,correct,correct,3,4,0.6,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,50,B50,T,T,T,T,T,F,T,F,correct,incorrect,correct,incorrect,2,4,0.4,1.0,,,,,,,,,
ABC-S3 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:09 EEST,B,,disabled,,disabled,0.0,3,TL;TR;BL,BR,homography_3_markers,TOTAL,,,,,,,,,,,,,,,,,,107,93,0,0,109,91,0,22.399999999999988,50.0
